,mean,smoothing,model_type,extract_method
0,0.5571739435063388,0.46776934539977094,complement,HashingTF
1,0.5406870179302705,0.08235206011964347,complement,HashingTF
2,0.5506330054673225,0.6015614290476685,complement,HashingTF
3,0.548141313645044,0.28005154029651397,complement,HashingTF
4,0.5479750347239837,0.39272717713796934,complement,HashingTF
5,0.5516475181254782,0.26428248228009876,complement,HashingTF
6,0.5566623396349619,0.2818977658874063,complement,HashingTF
7,0.5566064643849807,0.03139417547078986,complement,HashingTF
8,0.5352075414699673,0.3796451808691837,complement,HashingTF
9,0.5605277638518638,0.7757035869221893,complement,HashingTF
10,0.5542252312980417,0.7064552391572992,complement,HashingTF
11,0.5594727161349298,0.6032536766106277,complement,HashingTF
12,0.55504703524715,0.0889898962830945,complement,HashingTF
13,0.5546800607010434,0.4302662589876895,complement,HashingTF
14,0.5572600391036578,0.21347679730791855,complement,HashingTF
15,0.5593183740905343,0.3883008816845753,complement,HashingTF
16,0.5591669551337433,0.35691987791237356,complement,HashingTF
17,0.5464716864551256,0.44472561098166274,complement,HashingTF
18,0.5562727310340261,0.6926003090272401,complement,HashingTF
19,0.5498992847378686,0.4745567702858565,complement,HashingTF
20,0.5517259121671435,0.24851465622433874,complement,HashingTF
21,0.5415944010915575,0.5374137681391749,complement,HashingTF
22,0.5400147175730807,0.5939903392894337,complement,HashingTF
23,0.5532503176544066,0.27993874334051627,complement,HashingTF
24,0.5551119873780254,0.7643746260573769,complement,HashingTF
25,0.55361168026073,0.6415273963048078,complement,HashingTF
26,0.5540177326610382,0.19637130896534233,complement,HashingTF
27,0.54885043963057,0.3062224199131278,complement,HashingTF
28,0.5474251379085308,0.7128505671515246,complement,HashingTF
29,0.5626278124342979,0.7730244015384047,complement,HashingTF
30,0.5624104977929536,0.4059408215300347,complement,HashingTF
31,0.5521876482839022,0.395366736711662,complement,HashingTF
32,0.53825130089948,0.6209109413615127,complement,HashingTF
33,0.5619197673081572,0.5249173837037648,complement,HashingTF
34,0.5482003573205254,0.31379845687760244,complement,HashingTF
35,0.5480929142935625,0.5080248961616386,complement,HashingTF
36,0.5557763799095302,0.42316356307084235,complement,HashingTF
37,0.5549347725378047,0.6051504785331036,complement,HashingTF
38,0.5517716812044483,0.588584823968548,complement,HashingTF
39,0.5430330827541039,0.43395029357068865,complement,HashingTF
40,0.5468510797065147,0.014108646552754766,complement,HashingTF
41,0.5359932703131788,0.0864769810999494,complement,HashingTF
42,0.553855265642,0.6083296718725762,complement,HashingTF
43,0.5474030259084283,0.6696926205568757,complement,HashingTF
44,0.5471244038453267,0.17949750120693994,complement,HashingTF
45,0.5583223415738893,0.7194757116783171,complement,HashingTF
46,0.5531987332840733,0.024199647197111488,complement,HashingTF
47,0.5618326991228849,0.09288913430610499,complement,HashingTF
48,0.5594130183377677,0.652644675062901,complement,HashingTF
49,0.5416793634522743,0.17001088402666262,complement,HashingTF
50,0.5331921964938743,0.12379793823323314,multinomial,HashingTF
51,0.5487141615228804,0.3534367885593907,multinomial,HashingTF
52,0.5597411916938143,0.15968100970006083,multinomial,HashingTF
53,0.5625041515902397,0.26163477091397486,multinomial,HashingTF
54,0.5275983963776473,0.7888324605688718,multinomial,HashingTF
55,0.5448671275338582,0.6828115967846534,multinomial,HashingTF
